X,Y,OBJECTID,Name_e,Nom_f,Noms_Alt_Names,Description,Min_Scale_Echelle,Max_Scale_Echelle,CONCISCODE
-12818099.2193551,6607222.39161818,1,Kananaskis Village,Kananaskis Village,,,100000,100,Town//Ville
-12829130.7160276,6613180.37784066,2,Wind Mountain,Wind Mont,,,100000,100,Mountain//Mont
-12830967.3287072,6615155.14533564,3,Mount Lougheed,Mount Lougheed,,,100000,100,Mountain//Mont
-12816633.1698341,6618879.06280587,4,Mount Lorette,Mount Lorette,,,100000,100,Mountain//Mont
-12852851.1297084,6609264.28197012,5,Mount Turbulent,Mont Turbulent,,,100000,100,Mountain//Mont
-12775731.2551642,6507158.00083502,6,Mount Armstrong,Mount Armstrong,,,100000,100,Mountain//Mont
-12779392.65637,6503673.18808343,7,Mount Bolton,Mount Bolton,,,100000,100,Mountain//Mont
-12771558.6752663,6532624.63337515,8,Park Ranges,Park Ranges,,,100000,100,Mountain//Mont
-12760683.35283,6368552.28827366,9,Mount Ptolemy,Mount Ptolemy,,,100000,100,Mountain//Mont
-12755200.2668674,6398222.65159965,10,Seven Sisters Mountain,Seven Sisters Mont,,,100000,100,Mountain//Mont
-12754301.9167011,6395138.07394812,11,Crowsnest Mountain,Crowsnest Mont,,,100000,100,Mountain//Mont
-12747827.5121312,6398371.52870383,12,McGillivray Ridge,McGillivray Ridge,,,100000,100,Mountain//Mont
-12952503.5253424,6870397.304641,13,Crescent Falls,Crescent Falls,,,100000,100,Falls//Chute
-13025211.7935056,6857450.26388489,14,Le Grand Brazeau,Le Grand Brazeau,,,100000,100,Mountain//Mont
-13021465.5837702,6843702.62777172,15,Cline Pass,Cline Pass,,,100000,100,Valley//Vallée
-12974551.9207196,6840873.78919387,16,Mount Stelfox,Mount Stelfox,,,100000,100,Mountain//Mont
-12986580.4528118,6813434.07007752,17,Lion Peak,Lion Peak,,,100000,100,Mountain//Mont
-12828680.8348042,6776618.58739556,18,Sawtooth Ridge,Sawtooth Ridge,,,100000,100,Mountain//Mont
-12812764.8260034,6756051.29333633,19,Island Muskeg,Island Muskeg,,,100000,100,Mountain//Mont
-12812208.4698628,6756602.7371197,20,McMurtry Ridge,McMurtry Ridge,,,100000,100,Mountain//Mont
-12904344.057931,6762916.15305247,21,Condor Peak,Sommet Condor,,,100000,100,Mountain//Mont
-12905405.3622293,6755249.85972416,22,Divide Pass,Col Divide,,,100000,100,Valley//Vallée
-12803267.4702535,6754748.04404728,23,Parker Ridge,Parker Ridge,,,100000,100,Mountain//Mont
-12770857.3878948,6734611.64805808,24,Bear Valley,Bear Valley,,,100000,100,Mountain//Mont
-12772322.9845424,6720621.71800875,25,Charlton Muskeg,Charlton Muskeg,,,100000,100,Mountain//Mont
-12930260.388514,6668030.73032517,26,Chimney Peak,Sommet Chimney,,,100000,100,Mountain//Mont
-12767183.3341995,6588622.82423275,27,Mount Quirk,Mount Quirk,,,100000,100,Mountain//Mont
-12763396.2375517,6583891.55470322,28,Mount Barwell,Mount Barwell,,,100000,100,Mountain//Mont
-12798727.1010314,6597602.70991703,29,Fisher Range,Fisher Range,,,100000,100,Mountain//Mont
-12738473.9440857,6364416.02951891,30,Hastings Ridge,Hastings Ridge,,,100000,100,Mountain//Mont
-12712475.9105186,6422358.94026592,31,Whaleback Ridge,Whaleback Ridge,,,100000,100,Mountain//Mont
-12692889.2076558,6421939.66026986,32,Sand Bluff,Sand Bluff,,,100000,100,Mountain//Mont
-13005734.1500944,6904975.2168652,33,Tarpeian Rock,Tarpeian Rock,,,100000,100,Mountain//Mont
-12950184.2859002,6911876.02063417,34,Beaver Flat,Beaver Flat,,,100000,100,Mountain//Mont
-12967858.8072882,6824991.84514177,35,Sentinel Mountain,Sentinel Mont,,,100000,100,Mountain//Mont
-12877414.9843834,6712792.24161972,36,Bare Range,Chaîne Bare,,,100000,100,Mountain//Mont
